source_name,init_classification,probability,fit_model,coherence_r,coherence_g,coherence_i,description
ZTF22abqdmwt,Ia,0.77,salt3,,,,
ZTF21aaglret,Ia,1.0,salt3,,,,
ZTF21abconph,Ia,1.0,salt3,,,,
ZTF21abhuoyz,Ia,1.0,salt3,,,,
ZTF19abrirmk,Ia,1.0,salt3,,,,
ZTF22aadlnaf,Ia,0.98101,salt3,,,,
ZTF21aaqprjz,Ia,1.0,salt3,,,,
ZTF21achupwa,Ia,1.0,salt3,,,,
ZTF22abdtpru,Ia,0.99867,salt3,,,,
ZTF22aakejxf,Ia-91bg,0.9,salt3,,,,
ZTF21aamttit,Ia,0.8,salt3,,,,
ZTF22aaqyiqm,Ia,0.96776,salt3,,,,
ZTF21abvwuzb,Ia-norm,1.0,salt3,,,,
ZTF20actvgsy,Ia,1.0,salt3,,,,
ZTF21abnspht,Ia,0.89,salt3,,,,
ZTF20aaodnmm,Ia,1.0,salt3,,,,
ZTF22aahhgue,Ia,0.96879,salt3,,,,
ZTF22abubrek,Ia-91T,1.0,salt3,,,,
ZTF21abmwgow,Ia,1.0,salt3,,,,
ZTF20acwcfvx,Ia,1.0,salt3,,,,
ZTF21acpuwxj,Ia,0.97973,salt3,,,,
ZTF21aaaodzf,Ia,1.0,salt3,,,,
ZTF20acuspji,Ia,0.99,salt3,,,,
ZTF22abnmpty,Ia,0.87,salt3,,,,
ZTF20acsfdnn,Ia,1.0,salt3,,,,
ZTF21abatolf,Ia,0.9,salt3,,,,
ZTF21abdphiv,Ia,1.0,salt3,,,,
ZTF21abdahjc,Ia,1.0,salt3,,,,
ZTF22abtvkgk,Ia,0.9575,salt3,,,,
ZTF21acipdhn,Ia,0.99009,salt3,,,,
ZTF22aaibhya,Ia,0.97451,salt3,,,,
ZTF21aalhrtk,Ia-91bg,0.7,salt3,,,,
ZTF22abatqod,Ia-91bg,1.0,salt3,,,,
ZTF21aalikvj,Ia-02cx,1.0,salt3,,,,
ZTF21acknxoo,Ia,0.88,salt3,,,,
ZTF22abueufz,Ia,1.0,salt3,,,,
ZTF21aarzrst,Ia,1.0,salt3,,,,
ZTF22aazdxtl,Ia,1.0,salt3,,,,
ZTF20abxbjai,Ia,1.0,salt3,,,,
ZTF23aaovxwf,Ia,0.8,salt3,,,,
ZTF21abkinhh,Ia,1.0,salt3,,,,
ZTF21aawdral,Ia,1.0,salt3,,,,
ZTF19abdsnmj,Ia,1.0,salt3,,,,
ZTF21aasbkrl,Ia,0.98629,salt3,,,,
ZTF21abxaazp,Ia,1.0,salt3,,,,
ZTF22abzadkd,Ia,0.98421,salt3,,,,
ZTF22abyhqkt,Ia,0.99645,salt3,,,,
ZTF23aafvgyf,Ia,0.9879,salt3,,,,
ZTF21acjvgxg,Ia,0.99867,salt3,,,,
ZTF22abbtmdv,Ia,0.9287,salt3,,,,
ZTF22aabzqnf,Ia,0.99688,salt3,,,,
ZTF20acupibp,Ia,1.0,salt3,,,,
ZTF21abvajfq,Ia,0.98304,salt3,,,,
ZTF21abbuylk,Ia,1.0,salt3,,,,
ZTF22abkaaje,Ia,0.99399,salt3,,,,
