simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	polarization	coa_phase	geocent_end_time	geocent_end_time_ns	gps_time	ULTRASAT_efficiency	ULTRASAT_efficiency_err	ULTRASAT_detection	ZTF_efficiency	ZTF_efficiency_err	ZTF_detection	LSST_efficiency	LSST_efficiency_err	LSST_detection
195	3.4829313	0.59753761	2.9313987	283.49975	2.3357767	1.5615813	0.045634532	-0.059704558	3.5523056983947754	1.9421703815460205	1008333985	841132879	1008333985.823242	0.0457	0.0020883368981081574	0	0.0605	0.0023841088481862567	0	0.0456	0.0020861601089082306	0
213	0.99768505	0.62898513	0.77175986	597.98916	2.9660422	2.7307576	0.057743466	-0.27222052	0.32981929183006287	2.1214182376861572	1025624227	956337810	1025624227.935611	0.007	0.0008337265738837884	0	0.0069	0.0008277916404506632	0	0.3403	0.004738099935628205	0
230	2.3545364	0.95296988	0.51816305	264.61332	2.238126	2.2124294	0.30355054	-0.015296327	2.0890932083129883	0.1659359186887741	1017356893	361666560	1017356893.345825	0.0799	0.0027113832263256335	1	0.0183	0.001340339882268673	0	0.038	0.0019119623427254	0
235	4.0064508	0.55932509	2.438276	285.24977	1.6721379	1.5756188	-0.23725997	0.095855491	3.0331122875213623	-2.1386473178863525	1015085224	543776035	1015085224.532001	0.0153	0.0012274326865453764	0	0.3889	0.004875005538458392	1	0.3021	0.004591683678129407	0
257	4.9323555	0.67865002	0.48871369	431.68682	2.4819136	2.3575962	0.0039534624	0.17760244	5.022706031799316	1.7219120264053345	1010865638	251975536	1010865638.232948	0.0174	0.001307564147566	0	0.1936	0.003951190200433282	0	0.5168	0.004997176802955845	0
258	3.1695342	-0.29969188	0.27127156	152.95628	1.4802995	1.2294189	-0.041405583	0.13460349	2.9244441986083984	0.8557486534118652	1001846157	116204023	1001846157.127632	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0
261	0.88703221	0.43816993	0.75797817	360.4261	2.9099075	1.4063194	0.5953834	0.040575161	4.478219985961914	-1.4706387519836426	1005713738	929236	1005713737.981328	0.0083	0.000907254650029417	0	0.0127	0.001119763814382301	0	0.1364	0.003432128202733692	1
262	0.46859683	-1.0962544	0.7662463	341.15779	2.4077816	2.2011684	0.076337993	0.084271528	1.6044378280639648	1.183495044708252	1006955455	858324885	1006955455.876245	0.0671	0.0025019510386896067	0	0.4024	0.004903817288602829	0	0.4763	0.0049943799414942395	1
264	1.3120584	0.72438008	0.2287892	653.53713	2.1798151	1.5452847	0.043399335	0.20968718	4.1740193367004395	-2.147318124771118	1021575645	456230521	1021575645.435898	0.0013	0.00036032069049667407	0	0.097	0.0029595776725742477	0	0.288	0.004528310943387169	0
274	2.7591152	-0.52819453	0.71783405	638.17545	2.1422764	1.4653139	-0.19045806	-0.0097528814	2.661001205444336	-0.09836380928754807	1009142532	313266397	1009142532.333053	0.0019	0.0004354756020720334	0	0.0054	0.0007328601503697688	0	0.0837	0.002769373755923891	0
